[2019/01/19][16:02:26:356][WARNING]	: Sensor 3 stuck at time 32.6398 (classHeadset)
[2019/01/19][16:02:26:356][WARNING]	: Sensor 4 stuck at time 32.6398 (classHeadset)
[2019/01/19][16:02:26:356][WARNING]	: Sensor 5 stuck at time 32.6398 (classHeadset)
[2019/01/19][16:02:26:356][WARNING]	: Sensors supplied duplicate data at time 32.6398 (classHeadset)
[2019/01/19][16:02:26:356][WARNING]	: Sensor 0 stuck at time 32.6431 (classHeadset)
[2019/01/19][16:02:26:356][WARNING]	: Sensor 1 stuck at time 32.6431 (classHeadset)
[2019/01/19][16:02:26:356][WARNING]	: Sensor 2 stuck at time 32.6431 (classHeadset)
[2019/01/19][16:02:26:356][WARNING]	: Sensor 3 stuck at time 32.6431 (classHeadset)
[2019/01/19][16:02:26:356][WARNING]	: Sensor 4 stuck at time 32.6431 (classHeadset)
[2019/01/19][16:02:26:356][WARNING]	: Sensor 5 stuck at time 32.6431 (classHeadset)
[2019/01/19][16:02:26:356][WARNING]	: Sensors supplied duplicate data at time 32.6431 (classHeadset)
[2019/01/19][16:02:26:359][WARNING]	: Duplicate record detected: 32.139755,
[2019/01/19][16:02:26:359][WARNING]	: Duplicate record detected: 32.139755,
[2019/01/19][16:02:26:385][WARNING]	: Sensor 0 stuck at time 32.6464 (classHeadset)
[2019/01/19][16:02:26:385][WARNING]	: Sensor 1 stuck at time 32.6464 (classHeadset)
[2019/01/19][16:02:26:385][WARNING]	: Sensor 2 stuck at time 32.6464 (classHeadset)
[2019/01/19][16:02:26:385][WARNING]	: Sensor 3 stuck at time 32.6464 (classHeadset)
[2019/01/19][16:02:26:385][WARNING]	: Sensor 4 stuck at time 32.6464 (classHeadset)
[2019/01/19][16:02:26:385][WARNING]	: Sensor 5 stuck at time 32.6464 (classHeadset)
[2019/01/19][16:02:26:385][WARNING]	: Sensors supplied duplicate data at time 32.6464 (classHeadset)
